
===== Deductive Fault Simulator Final Summary =====
87 total fault nets found
net 3 stuck at 0
net 5 stuck at 0
net 6 stuck at 1
net 7 stuck at 0
net 8 stuck at 0
net 9 stuck at 0
net 10 stuck at 0
net 11 stuck at 1
net 12 stuck at 1
net 15 stuck at 0
net 18 stuck at 1
net 19 stuck at 1
net 20 stuck at 1
net 21 stuck at 1
net 22 stuck at 1
net 23 stuck at 1
net 24 stuck at 0
net 25 stuck at 0
net 26 stuck at 0
net 27 stuck at 0
net 28 stuck at 1
net 29 stuck at 1
net 30 stuck at 1
net 31 stuck at 1
net 32 stuck at 0
net 33 stuck at 1
net 34 stuck at 0
net 35 stuck at 0
net 36 stuck at 1
net 37 stuck at 0
net 39 stuck at 1
net 41 stuck at 1
net 45 stuck at 1
net 48 stuck at 0
net 49 stuck at 0
net 50 stuck at 0
net 51 stuck at 0
net 52 stuck at 1
net 53 stuck at 1
net 54 stuck at 1
net 55 stuck at 1
net 56 stuck at 0
net 58 stuck at 0
net 64 stuck at 1
net 66 stuck at 0
net 67 stuck at 1
net 68 stuck at 1
net 95 stuck at 0
net 102 stuck at 0
net 103 stuck at 0
net 104 stuck at 0
net 107 stuck at 1
net 108 stuck at 1
net 109 stuck at 1
net 110 stuck at 1
net 111 stuck at 1
net 113 stuck at 1
net 115 stuck at 1
net 116 stuck at 1
net 118 stuck at 0
net 119 stuck at 0
net 121 stuck at 0
net 122 stuck at 0
net 132 stuck at 0
net 133 stuck at 0
net 135 stuck at 0
net 138 stuck at 0
net 143 stuck at 1
net 144 stuck at 1
net 145 stuck at 1
net 149 stuck at 0
net 152 stuck at 0
net 158 stuck at 0
net 159 stuck at 0
net 161 stuck at 0
net 163 stuck at 0
net 166 stuck at 1
net 167 stuck at 1
net 168 stuck at 1
net 169 stuck at 1
net 170 stuck at 1
net 173 stuck at 0
net 182 stuck at 1
net 183 stuck at 1
net 186 stuck at 1
net 187 stuck at 1
net 188 stuck at 1
